"Node","Terminal","Split","n","Deviance","SplitCondition"
1,"No","mrace15",128,655421.963540744,"mrace15 = 0"
2,"No","sex",64,472583.566581597,"sex = 0"
3,"No","mager",64,182288.411443441,NA
4,"Yes",NA,32,250827.024234055,NA
5,"Yes",NA,32,221644.214008798,"mager = 0"
6,"Yes",NA,32,141226.070681635,NA
7,"Yes",NA,32,41035.4199372637,NA
